Year,Chamber,Geography,Democrat,Republican,WAR,Sortable
2024,House,AL-01,Tom Holmes,Barry Moore,D+1.3,-1.3
2024,House,AL-02,Shomari Figures,Caroleene Dobson,D+2.2,-2.2
2024,House,AL-06,Elizabeth Anderson,Gary Palmer,D+4.5,-4.5
2024,House,AL-07,Terri Sewell,Robin Litaker,R+0.2,0.2
2024,House,AK-AL,Mary Peltola,Nick Begich,D+9.1,-9.1
2024,House,AZ-01,Amish Shah,David Schweikert,D+4,-4
2024,House,AZ-02,Jonathan Nez,Eli Crane,D+8.5,-8.5
2024,House,AZ-03,Yassamin Ansari,Jeff Zink,D+2.9,-2.9
2024,House,AZ-04,Greg Stanton,Kelly Cooper,R+1.7,1.7
2024,House,AZ-05,Katrina Schaffner,Andy Biggs,D+3.8,-3.8
2024,House,AZ-06,Kirsten Engel,Juan Ciscomani,D+3.7,-3.7
2024,House,AZ-07,Raul Grijalva,Daniel Butierez,D+0.6,-0.6
2024,House,AZ-08,Greg Whitten,Abraham Hamadeh,D+6.4,-6.4
2024,House,AZ-09,Quacy Smith,Paul Gosar,D+4,-4
2024,House,AR-01,Rodney Govens,Rick Crawford,R+2.8,2.8
2024,House,AR-02,Marcus Jones,French Hill,D+3.3,-3.3
2024,House,AR-03,Caitlin Draper,Steve Womack,R+2.9,2.9
2024,House,AR-04,Risie Howard,Bruce Westerman,R+1.7,1.7
2024,House,CA-01,Rose Penelope Yee,Doug LaMalfa,R+2.9,2.9
2024,House,CA-02,Jared Huffman,Chris Coulombe,R+4,4
2024,House,CA-03,Jessica Morse,Kevin Kiley,R+2.1,2.1
2024,House,CA-04,Mike Thompson,John Munn,R+2.1,2.1
2024,House,CA-05,Michael Barkley,Tom McClintock,R+2,2
2024,House,CA-06,Ami Bera,Christine Bish,R+0.9,0.9
2024,House,CA-07,Doris Matsui,Tom Silva,D+0.5,-0.5
2024,House,CA-08,John Garamendi,Rudy Recile,R+0.5,0.5
2024,House,CA-09,Josh Harder,Kevin Lincoln,R+0.1,0.1
2024,House,CA-10,Mark DeSaulnier,Katherine Piccinini,R+3.3,3.3
2024,House,CA-11,Nancy Pelosi,Bruce Lou,R+10.6,10.6
2024,House,CA-13,Adam Gray,John Duarte,D+5.2,-5.2
2024,House,CA-14,Eric Swalwell,Vin Kruttiventi,R+4.9,4.9
2024,House,CA-15,Kevin Mullin,Anna Cheng Kramer,R+6,6
2024,House,CA-17,Ro Khanna,Anita Chen,R+8.1,8.1
2024,House,CA-18,Zoe Lofgren,Peter Hernandez,R+6.9,6.9
2024,House,CA-19,Jimmy Panetta,Jason Anderson,D+0.7,-0.7
2024,House,CA-21,Jim Costa,Michael Maher,R+5.4,5.4
2024,House,CA-22,Rudy Salas,David Valadao,R+2.2,2.2
2024,House,CA-23,Derek Marshall,Jay Obernolte,R+0.5,0.5
2024,House,CA-24,Salud Carbajal,Thomas Cole,R+3,3
2024,House,CA-25,Raul Ruiz,Ian Weeks,D+4,-4
2024,House,CA-26,Julia Brownley,Michael Koslow,R+4.5,4.5
2024,House,CA-27,George Whitesides,Mike Garcia,D+1.3,-1.3
2024,House,CA-28,Judy Chu,April Verlato,R+0.6,0.6
2024,House,CA-29,Luz Rivas,Benito Bernal,D+1.6,-1.6
2024,House,CA-30,Laura Friedman,Alex Balekian,R+3.2,3.2
2024,House,CA-31,Gil Cisneros,Daniel Martinez,R+1.3,1.3
2024,House,CA-32,Brad Sherman,Larry Thompson,R+2.8,2.8
2024,House,CA-33,Pete Aguilar,Tom Herman,D+1.1,-1.1
2024,House,CA-35,Norma Torres,Mike Cargile,D+0,0
2024,House,CA-36,Ted Lieu,Melissa Toomim,R+4.5,4.5
2024,House,CA-38,Linda Sanchez,Eric Ching,R+2.4,2.4
2024,House,CA-39,Mark Takano,David Serpa,R+2.8,2.8
2024,House,CA-40,Joe Kerr,Young Kim,R+2.8,2.8
2024,House,CA-41,Will Rollins,Ken Calvert,D+6.4,-6.4
2024,House,CA-42,Robert Garcia,John Briscoe,R+1.7,1.7
2024,House,CA-43,Maxine Waters,Steve Williams,R+4.7,4.7
2024,House,CA-44,Nanette Barragan,Roger Groh,D+3.2,-3.2
2024,House,CA-45,Derek Tran,Michelle Steel,D+3.9,-3.9
2024,House,CA-46,Lou Correa,David Pan,D+4.6,-4.6
2024,House,CA-47,Dave Min,Scott Baugh,R+0.4,0.4
2024,House,CA-48,Stephen Houlahan,Darrell Issa,D+2.4,-2.4
2024,House,CA-49,Mike Levin,Matt Gunderson,R+4.9,4.9
2024,House,CA-50,Scott Peters,Peter Bono,R+4.1,4.1
2024,House,CA-51,Sara Jacobs,Bill Wells,R+4.2,4.2
2024,House,CA-52,Juan Vargas,Justin Lee,D+5.8,-5.8
2024,House,CO-01,Diana DeGette,Valdamar Archuleta,R+2.9,2.9
2024,House,CO-02,Joe Neguse,Marshall Dawson,R+1.4,1.4
2024,House,CO-03,Adam Frisch,Jeff Hurd,D+6.3,-6.3
2024,House,CO-04,Trisha Calvarese,Lauren Boebert,D+9.2,-9.2
2024,House,CO-05,River Gassen,Jeff Crank,R+2.6,2.6
2024,House,CO-06,Jason Crow,John Fabbricatore,R+1.9,1.9
2024,House,CO-07,Brittany Pettersen,Sergei Matveyuk,R+2,2
2024,House,CO-08,Yadira Caraveo,Gabe Evans,R+2.1,2.1
2024,House,CT-01,John Larson,Jim Griffin,D+2.5,-2.5
2024,House,CT-02,Joe Courtney,Mike France,D+5.8,-5.8
2024,House,CT-03,Rosa DeLauro,Michael Massey,D+0.1,-0.1
2024,House,CT-04,Jim Himes,Michael Goldstein,R+3.4,3.4
2024,House,CT-05,Jahana Hayes,George Logan,R+1.1,1.1
2024,House,DE-AL,Sarah McBride,John Whalen,D+0.1,-0.1
2024,House,FL-01,Gay Valimont,Matt Gaetz,D+8.5,-8.5
2024,House,FL-02,Yen Bailey,Neal Dunn,R+2.3,2.3
2024,House,FL-03,Tom Wells,Kat Cammack,D+2,-2
2024,House,FL-04,LaShonda Holloway,Aaron Bean,D+1.8,-1.8
2024,House,FL-05,Jay McGovern,John Rutherford,R+0.6,0.6
2024,House,FL-06,James Stockton,Michael Waltz,D+0.6,-0.6
2024,House,FL-07,Jennifer Adams,Cory Mills,D+3.4,-3.4
2024,House,FL-08,Sandy Kennedy,Mike Haridopolos,R+0.2,0.2
2024,House,FL-09,Darren Soto,Thomas Chalifoux,D+5.3,-5.3
2024,House,FL-10,Maxwell Frost,Willie Montague,R+2.5,2.5
2024,House,FL-11,Barbie Hall,Daniel Webster,R+0.6,0.6
2024,House,FL-12,Rock Aboujaoude,Gus Bilirakis,R+4.6,4.6
2024,House,FL-13,Whitney Fox,Anna Paulina Luna,D+6.1,-6.1
2024,House,FL-14,Kathy Castor,Robert Rochford,D+4.3,-4.3
2024,House,FL-15,Pat Kemp,Laurel Lee,D+2.6,-2.6
2024,House,FL-16,Jan Schneider,Vern Buchanan,D+1,-1
2024,House,FL-17,Manny Lopez,Greg Steube,R+0.5,0.5
2024,House,FL-18,Andrea Doria Kale,Scott Franklin,D+1,-1
2024,House,FL-19,Kari Lerner,Byron Donalds,D+0.9,-0.9
2024,House,FL-21,Thomas Witkop,Brian Mast,R+2.7,2.7
2024,House,FL-22,Lois Frankel,Dan Franzese,D+0.5,-0.5
2024,House,FL-23,Jared Moskowitz,Joe Kaufman,R+1.3,1.3
2024,House,FL-24,Frederica Wilson,Jesus Navarro,D+0.5,-0.5
2024,House,FL-25,Debbie Wasserman Schultz,Chris Eddy,R+1.3,1.3
2024,House,FL-26,Joey Atkins,Mario Diaz-Balart,R+3.6,3.6
2024,House,FL-27,Lucia Baez-Geller,Maria Elvira Salazar,R+3,3
2024,House,FL-28,Phil Ehr,Carlos Gimenez,R+2.7,2.7
2024,House,GA-01,Patti Hewitt,Buddy Carter,R+2.4,2.4
2024,House,GA-02,Sanford Bishop,Wayne Johnson,D+3,-3
