district_id,incumbent_2025,incumbent_party,pvi_string,pvi_numeric,is_open_seat,retirement_reason,war,generic_ballot,predicted_margin,predicted_winner,d_win_pct,r_win_pct,race_rating,potential_flip,sim_avg_margin,sim_margin_std
AZ-01,David Schweikert,R,R+1,-1.0,True,Running for Governor,0.0,6.6,-0.04,R,50.0,50.0,Toss-up,False,0.09,5.39
NY-17,Mike Lawler,R,D+1,1.0,False,,3.8,6.6,0.08,D,49.3,50.7,Tilt R,True,0.22,5.14
CO-08,Gabe Evans,R,EVEN,0.0,False,,2.1,6.6,-0.08,R,47.0,53.0,Tilt R,False,-0.39,5.33
PA-07,Ryan MacKenzie,R,R+1,-1.0,False,,0.1,6.6,-0.09,R,51.5,48.5,Tilt D,False,0.09,5.35
OH-01,Greg Landsman,D,R+2,-2.0,False,,-1.7,6.6,-0.2,R,50.3,49.7,Tilt D,True,-0.2,5.38
MI-07,Tom Barrett,R,EVEN,0.0,False,,1.4,6.6,0.28,D,53.4,46.6,Tilt D,True,0.22,5.48
MT-01,Ryan Zinke,R,R+5,-5.0,False,,-7.1,6.6,-0.52,R,45.8,54.2,Tilt R,False,-0.74,5.32
AK-AL,Nick Begich,R,R+6,-6.0,False,,-9.1,6.6,-0.53,R,46.9,53.1,Tilt R,False,-0.38,5.26
CO-03,Jeff Hurd,R,R+5,-5.0,False,,-6.3,6.6,-0.93,R,43.2,56.8,Tilt R,False,-1.05,5.31
NJ-07,Thomas Kean Jr.,R,EVEN,0.0,False,,0.0,6.6,1.0,D,59.0,41.0,Tilt D,True,1.04,5.32
FL-13,Anna Paulina Luna,R,R+5,-5.0,False,,-6.1,6.6,-1.04,R,41.5,58.5,Tilt R,False,-0.94,5.37
IA-03,Zach Nunn,R,R+2,-2.0,False,,-4.6,6.6,1.29,D,62.6,37.4,Tilt D,True,1.62,5.36
VA-02,Jen Kiggans,R,EVEN,0.0,False,,-1.1,6.6,1.56,D,59.7,40.3,Tilt D,True,1.3,5.24
PA-08,Rob Bresnahan,R,R+4,-4.0,False,,-2.9,6.6,-1.64,R,40.7,59.3,Tilt R,False,-1.24,5.42
WI-03,Derrick Van Orden,R,R+3,-3.0,False,,-7.3,6.6,1.64,D,61.9,38.1,Tilt D,True,1.44,5.26
TX-34,Vicente Gonzalez,D,EVEN,0.0,False,,-1.3,6.6,1.66,D,61.0,39.0,Tilt D,False,1.49,5.32
OH-09,Marcy Kaptur,D,R+5,-5.0,False,,-4.8,6.6,-1.7,R,37.0,63.0,Tilt R,True,-1.84,5.43
NC-01,Don Davis,D,R+4,-4.0,False,,-2.6,6.6,-1.8,R,36.2,63.8,Tilt R,True,-1.83,5.29
NY-01,Nick LaLota,R,R+4,-4.0,False,,-2.5,6.6,-1.85,R,37.6,62.4,Tilt R,False,-1.51,5.38
